age,arquivo_origem,available,cluster-ip,cpu_cores,external-ip,gates,ip,memory_bytes,momento,name,node,nominated,pod_name,port_s,readiness,ready,restarts,status,type,up-to-date
,sem_csmf_metrics.txt,,,10.233.75.28:51634,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:40798,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:40800,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:47676,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:40806,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:47688,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:40874,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:40876,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:51308,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:40888,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:51316,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:37200,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:37204,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:33820,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:37220,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:33830,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:57190,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:57174,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:60538,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:57204,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:60548,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:53444,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:53446,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:49338,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:53462,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:49346,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:48298,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:48310,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:57114,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:48326,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:57118,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:58012,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:58028,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:38684,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:58044,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:38690,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:50104,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:50112,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:47262,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:50116,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:47268,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:55178,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:55186,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:37474,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:55200,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:37490,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:54512,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:54516,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:49092,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:54520,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:49100,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:56018,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:56030,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:52570,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:56040,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:52574,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:58138,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:58142,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:35324,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:58152,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:35338,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:58072,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:58074,,,,-,initial,,,,INFO:,,,,,,,
