LAST SEEN   TYPE      REASON                            OBJECT                                         MESSAGE
56m         Normal    Scheduled                         pod/trisla-decision-engine-869f6896cd-bptzw    Successfully assigned trisla/trisla-decision-engine-869f6896cd-bptzw to node1
56m         Normal    SuccessfulCreate                  replicaset/trisla-decision-engine-758f674d75   Created pod: trisla-decision-engine-758f674d75-56kph
56m         Normal    Started                           pod/trisla-ml-nsmf-65d98c9cff-bxsj6            Started container ml-nsmf
56m         Normal    SuccessfulCreate                  replicaset/trisla-decision-engine-9fbb4b76b    Created pod: trisla-decision-engine-9fbb4b76b-lkljv
56m         Normal    SuccessfulDelete                  replicaset/trisla-decision-engine-758f674d75   Deleted pod: trisla-decision-engine-758f674d75-56kph
56m         Normal    Scheduled                         pod/trisla-decision-engine-9fbb4b76b-lkljv     Successfully assigned trisla/trisla-decision-engine-9fbb4b76b-lkljv to node1
28s         Warning   FailedToRetrieveImagePullSecret   pod/trisla-ml-nsmf-65d98c9cff-bxsj6            Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
56m         Normal    Pulling                           pod/trisla-decision-engine-758f674d75-56kph    Pulling image "ghcr.io/abelisboa/trisla-decision-engine:v3.8.1"
56m         Warning   FailedToRetrieveImagePullSecret   pod/trisla-decision-engine-758f674d75-56kph    Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
56m         Normal    AddedInterface                    pod/trisla-ml-nsmf-65d98c9cff-bxsj6            Add eth0 [10.233.102.158/32] from k8s-pod-network
56m         Normal    Pulled                            pod/trisla-ml-nsmf-65d98c9cff-bxsj6            Container image "ghcr.io/abelisboa/trisla-ml-nsmf:v3.7.29" already present on machine
56m         Normal    Created                           pod/trisla-ml-nsmf-65d98c9cff-bxsj6            Created container ml-nsmf
56m         Normal    AddedInterface                    pod/trisla-decision-engine-9fbb4b76b-lkljv     Add eth0 [10.233.102.168/32] from k8s-pod-network
56m         Warning   FailedToRetrieveImagePullSecret   pod/trisla-decision-engine-9fbb4b76b-lkljv     Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
56m         Normal    Pulling                           pod/trisla-decision-engine-9fbb4b76b-lkljv     Pulling image "ghcr.io/abelisboa/trisla-decision-engine:v3.8.1"
56m         Normal    Started                           pod/trisla-decision-engine-758f674d75-56kph    Started container decision-engine
56m         Normal    Created                           pod/trisla-decision-engine-758f674d75-56kph    Created container decision-engine
56m         Normal    Pulled                            pod/trisla-decision-engine-758f674d75-56kph    Successfully pulled image "ghcr.io/abelisboa/trisla-decision-engine:v3.8.1" in 6.869s (6.869s including waiting). Image size: 176404328 bytes.
56m         Normal    Pulled                            pod/trisla-decision-engine-9fbb4b76b-lkljv     Successfully pulled image "ghcr.io/abelisboa/trisla-decision-engine:v3.8.1" in 539ms (6.333s including waiting). Image size: 176404328 bytes.
56m         Normal    Created                           pod/trisla-decision-engine-9fbb4b76b-lkljv     Created container decision-engine
56m         Normal    Started                           pod/trisla-decision-engine-9fbb4b76b-lkljv     Started container decision-engine
56m         Normal    Killing                           pod/trisla-decision-engine-758f674d75-56kph    Stopping container decision-engine
56m         Normal    SuccessfulDelete                  replicaset/trisla-ml-nsmf-5cc6b8c476           Deleted pod: trisla-ml-nsmf-5cc6b8c476-7sgth
56m         Normal    ScalingReplicaSet                 deployment/trisla-ml-nsmf                      Scaled down replica set trisla-ml-nsmf-5cc6b8c476 to 0 from 1
56m         Normal    Killing                           pod/trisla-ml-nsmf-5cc6b8c476-7sgth            Stopping container ml-nsmf
56m         Normal    SuccessfulDelete                  replicaset/trisla-decision-engine-54899977bc   Deleted pod: trisla-decision-engine-54899977bc-8pfx8
56m         Normal    Killing                           pod/trisla-decision-engine-54899977bc-8pfx8    Stopping container decision-engine
56m         Normal    Scheduled                         pod/curltest-decision-final                    Successfully assigned trisla/curltest-decision-final to node2
59m         Normal    AddedInterface                    pod/curltest-decision-final                    Add eth0 [10.233.75.35/32] from k8s-pod-network
55m         Normal    Scheduled                         pod/trisla-decision-engine-7fbdb7c44d-xkft8    Successfully assigned trisla/trisla-decision-engine-7fbdb7c44d-xkft8 to node1
55m         Normal    SuccessfulCreate                  replicaset/trisla-decision-engine-7fbdb7c44d   Created pod: trisla-decision-engine-7fbdb7c44d-xkft8
55m         Warning   FailedToRetrieveImagePullSecret   pod/trisla-decision-engine-7fbdb7c44d-xkft8    Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
55m         Normal    AddedInterface                    pod/trisla-decision-engine-7fbdb7c44d-xkft8    Add eth0 [10.233.102.146/32] from k8s-pod-network
55m         Normal    Pulled                            pod/trisla-decision-engine-7fbdb7c44d-xkft8    Container image "ghcr.io/abelisboa/trisla-decision-engine:v3.8.1" already present on machine
55m         Normal    Created                           pod/trisla-decision-engine-7fbdb7c44d-xkft8    Created container decision-engine
55m         Normal    Started                           pod/trisla-decision-engine-7fbdb7c44d-xkft8    Started container decision-engine
55m         Normal    SuccessfulDelete                  replicaset/trisla-decision-engine-9fbb4b76b    Deleted pod: trisla-decision-engine-9fbb4b76b-lkljv
55m         Warning   Unhealthy                         pod/trisla-decision-engine-9fbb4b76b-lkljv     Readiness probe failed: Get "http://10.233.102.168:8082/health": dial tcp 10.233.102.168:8082: connect: connection refused
55m         Normal    Killing                           pod/trisla-decision-engine-9fbb4b76b-lkljv     Stopping container decision-engine
58m         Normal    AddedInterface                    pod/curltest-final2                            Add eth0 [10.233.75.45/32] from k8s-pod-network
55m         Normal    Scheduled                         pod/curltest-final2                            Successfully assigned trisla/curltest-final2 to node2
54m         Normal    AddedInterface                    pod/trisla-decision-engine-649cc75797-thjgz    Add eth0 [10.233.102.156/32] from k8s-pod-network
54m         Normal    Scheduled                         pod/trisla-decision-engine-649cc75797-thjgz    Successfully assigned trisla/trisla-decision-engine-649cc75797-thjgz to node1
47m         Warning   FailedToRetrieveImagePullSecret   pod/trisla-decision-engine-649cc75797-thjgz    Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
54m         Normal    Created                           pod/trisla-decision-engine-649cc75797-thjgz    Created container decision-engine
54m         Normal    Pulled                            pod/trisla-decision-engine-649cc75797-thjgz    Container image "ghcr.io/abelisboa/trisla-decision-engine:v3.8.1" already present on machine
54m         Normal    Started                           pod/trisla-decision-engine-649cc75797-thjgz    Started container decision-engine
54m         Normal    SuccessfulCreate                  replicaset/trisla-decision-engine-649cc75797   Created pod: trisla-decision-engine-649cc75797-thjgz
54m         Normal    Killing                           pod/trisla-decision-engine-7fbdb7c44d-xkft8    Stopping container decision-engine
54m         Normal    SuccessfulDelete                  replicaset/trisla-decision-engine-7fbdb7c44d   Deleted pod: trisla-decision-engine-7fbdb7c44d-xkft8
54m         Normal    Scheduled                         pod/curltest-kafka-test                        Successfully assigned trisla/curltest-kafka-test to node2
56m         Normal    AddedInterface                    pod/curltest-kafka-test                        Add eth0 [10.233.75.55/32] from k8s-pod-network
46m         Normal    AddedInterface                    pod/trisla-decision-engine-558578dfb7-4nsx2    Add eth0 [10.233.102.145/32] from k8s-pod-network
